01/10/2020,2.10,Food and Beverages,Good news cafe,,,,,,
01/10/2020,40.00,Transport,Ez link card,,,,,,
02/10/2020,0.90,Food and Beverages,"Hot drinks,teh",,,,,,
02/10/2020,12.65,Food and Beverages,MOS burger,,,,,,
05/10/2020,4.50,Food and Beverages,Malay food and avocado milkshake,,,,,,
06/10/2020,4.50,Food and Beverages,Malay food and fruit juice,,,,,,
07/10/2020,4.50,Food and Beverages,Malay food and fruit juice,,,,,,
08/10/2020,2.10,Food and Beverages,Good news cafe,,,,,,
09/10/2020,7.85,Food and Beverages,Mcdonald,,,,,,
11/10/2020,2.00,Food and Beverages,Drinks,,,,,,
13/10/2020,1.00,Food and Beverages,Milo,,,,,,
13/10/2020,2.50,Food and Beverages,Malay food,,,,,,
13/10/2020,6.66,Stationary/office stuff,"Popular, pen",,,,,,
13/10/2020,8.30,Transport,Grab from VJ to mandai camp,,,,,,
15/10/2020,1.40,Food and Beverages,Mcdonald,,,,,,
16/10/2020,3.00,Food and Beverages,Malay food,,,,,,
20/10/2020,2.20,Food and Beverages,Cheers,,,,,,
20/10/2020,10.18,Entertainment,Spotify,,,,,,
25/10/2020,4.00,Food and Beverages,??,,,,,,
31/10/2020,3.24,Stationary/office stuff,Popular stuff,,,,,,
17/11/2020,1.00,Stationary/office stuff,Long ruler,,,,,,
19/11/2020,19.30,Transport,Grab ride to IPPT test,,,,,,
19/11/2020,21.30,Transport,Grab ride from ippt test to home,,,,,,
20/11/2020,10.28,Entertainment,Steam purchase,,,,,,
21/11/2020,10.18,Entertainment,Spotify,,,,,,
01/12/2020,3.95,Food and Beverages,Shoyu chicken sucks,,,,,,
02/12/2020,3.69,Stationary/office stuff,Notebook,,,,,,
09/12/2020,4.00,Food and Beverages,Nasi lemak rice with egg and chicken,,,,,,
09/12/2020,20.00,Transport,,,,,,,
10/12/2020,2.50,Food and Beverages,Cai fan,,,,,,
10/12/2020,1.80,Food and Beverages,Hotdog bun,,,,,,
11/12/2020,16.90,Food and Beverages,Ramen,,,,,,
14/12/2020,5.00,Food and Beverages,Prawn mee,,,,,,
15/12/2020,3.50,Food and Beverages,Roasted duck rice,,,,,,
15/12/2020,1.70,Food and Beverages,Sugar cane juice,,,,,,
16/12/2020,6.82,Food and Beverages,,,,,,,
17/12/2020,3.00,Food and Beverages,Duck rice,,,,,,
18/12/2020,11.50,Food and Beverages,Aston,,,,,,
20/12/2020,10.00,Others,Cycling,,,,,,
20/12/2020,5.00,Food and Beverages,Hokkien mee,,,,,,
20/12/2020,8.00,Transport,To ubin and back by boat,,,,,,
20/12/2020,2.00,Others,Rain coat,,,,,,
21/12/2020,10.18,Entertainment,Spotify,,,,,,
22/12/2020,6.20,Food and Beverages,Mcdonald wrap meal,,,,,,
25/12/2020,7.50,Food and Beverages,Top up kopitium card,,,,,,
28/12/2020,29.00,Others,Nose hair trimmer,,,,,,
29/12/2020,11.10,Food and Beverages,Saizerya,,,,,,
05/01/2021,40.00,Transport,Ez link card top up,,,,,,
08/01/2021,5.20,Food and Beverages,Toast box set A,,,,,,
08/01/2021,43.08,Food and Beverages,Ramen,,,,,,
08/01/2021,1.98,Stationary/office stuff,Scissors,,,,,,
12/1/2021,15.00,Others,SMU admission fee,,,,,,
14/1/2021,2.50,Food and Beverages,Coconut yogurt,,,,,,
16/1/2021,5.20,Food and Beverages,fun toast set A,,,,,,
20/1/2021,10.00,Food and Beverages,Top up kopitium card,,,,,,
20/1/2021,10.18,Entertainment,spotify,,,,,,
22/1/2021,5.20,Food and Beverages,Fun toast set A,,,,,,
22/1/2021,0.00,Food and Beverages,Spaq and soup,,,,,,
26/1/2021,4.80,Food and Beverages,Western chicken chop,,,,,,
28/1/2021,0.90,Food and Beverages,Tea,,,,,,
28/1/2021,17.90,Entertainment,Earpiece,,,,,,
28/1/2021,3.50,Food and Beverages,Some noodle soup,,,,,,
30/1/2021,5.20,Food and Beverages,Fun toast set A,,,,,,
31/1/2021,3.60,Stationary/office stuff,bluetack,,,,,,
2/2/2021,3.80,Food and Beverages,Mixed rice,,,,,,
2/2/2021,20.00,Transport,,,,,,,
4/2/2021,10.00,Food and Beverages,Top up kopitium card,,,,,,
5/2/2021,5.90,Stationary/office stuff,thumbdrive,,,,,,
6/2/2021,5.50,Food and Beverages,Fun toast set a with milo,,,,,,
9/2/2021,4.50,Food and Beverages,Fish soup,,,,,,
9/2/2021,12.60,Transport,Grab,,,,,,
9/2/2021,203.30,Health,teeth filling and cleaning,,,,,,
11/2/2021,20.00,Transport,Top up my card,,,,,,
11/2/2021,20.00,Transport,top up mum's card,,,,,,
18/2/2021,10.18,Entertainment,spotify,,,,,,
19/2/2021,6.50,Food and Beverages,"Cheese prata, mushroom prata, honey lemon tea",,,,,,
