NSF allowance,541.33,9/4/2021,Income/Allowance
NSF allowance,676.67,10/5/2021,Income/Allowance
NSF allowance,550,10/6/2021,Income/Allowance
NSF allowance,943.76,9/7/2021,Income/Allowance
NSF allowance,991.8,10/8/2021,Income/Allowance
NSF allowance,791.8,10/9/2021,Income/Allowance
NSF allowance,891.8,8/10/2021,Income/Allowance
NSF allowance,791.8,10/11/2021,Income/Allowance
Skills future,200,11/11/2021,Income/Allowance
NSF allowance,1222.80,10/12/2021,Income/Allowance
NSF allowance,1061.80,10/1/2022,Income/Allowance
NSF allowance,1061.80,27/1/2022,Income/Allowance
NSF allowance,1061.80,10/3/2022,Income/Allowance
NSF allowance,1061.80,8/4/2022,Income/Allowance
NSF allowance,1061.80,9/5/2022,Income/Allowance
NSF allowance,1061.80,9/6/2022,Income/Allowance
NSF allowance,1561.80,8/7/2022,Income/Allowance
Syfe appl,214.84,12/7/2022,Investment
NSF allowance,1061.8,8/8/2022,Income/Allowance
NSF Allowance,1061.8,9/9/2022,Income/Allowance#
